valid_time,pressure_level,latitude,longitude,surface_wind,low-level_wind,jet_stream,atmos_stability1,atmos_stability2,thermal_wind_y_grad,thermal_wind_x_grad
1987-07-19,0,43.7,-79.65,3.4778397,11.797798,14.03146,0.0009300224413072266,0.004351876352353718,6.87313935440733,2.0730231518698137
1987-07-20,0,43.7,-79.65,6.38733,20.487234,14.490497,0.004113757368529336,0.0036224059915376367,6.554085327875155,1.953758675390042
1987-07-21,0,43.7,-79.65,3.578794,12.701302,9.612996,0.0036561136293449376,0.003140699922159758,2.306572958831198,1.5367463307807352
1987-07-22,0,43.7,-79.65,2.8287451,7.907983,8.370478,0.001539344251932107,0.004098929975716914,2.4885614498465167,1.3004097235129566
1987-07-23,0,43.7,-79.65,4.8692822,11.135941,9.06061,0.0005096543173082431,0.00473161791054298,0.15107628643625629,0.7269677171626773
1987-07-24,0,43.7,-79.65,5.40168,14.404361,13.714882,0.0012626557141309964,0.0045427936318688245,1.300798874025577,0.4802217086904503
1987-07-25,0,43.7,-79.65,4.3285103,13.083597,18.609673,0.0010068816186552362,0.004134191867459106,3.978126291193079,1.177447167213526
1987-07-26,0,43.7,-79.65,4.1420226,10.276317,24.95598,0.0010323810959604904,0.003528513622916396,3.3594053244859055,1.707714157506807
1987-07-27,0,43.7,-79.65,4.131324,7.850552,24.486956,0.00137563793529392,0.004167369618599752,4.331169313539739,1.7412467274184582
1987-07-28,0,43.7,-79.65,3.006863,7.084609,19.183203,0.0006007463808430697,0.0045300077392426115,4.285620475378735,2.1788208298381657
1987-07-29,0,43.7,-79.65,3.408267,8.468391,14.339561,0.0019147306856505271,0.003682108093765802,3.927379849004861,1.496214624452667
1987-07-30,0,43.7,-79.65,3.985627,9.405523,16.692356,0.0015229114303410526,0.003955782869438946,4.990958076910015,1.794413751317846
1987-07-31,0,43.7,-79.65,2.4430718,2.6841626,18.532396,0.002091631019713971,0.004546258033392865,3.3095530573603837,1.8934724941371837
1987-08-01,0,43.7,-79.65,2.1670308,3.2245655,14.039733,0.0035300589828547464,0.004770215096384033,0.3427513395586448,0.4406235738026852
1987-08-02,0,43.7,-79.65,5.080941,16.928394,13.124421,0.005410517640937075,0.004039604410521203,2.3659809870290314,1.3894685651851386
1987-08-03,0,43.7,-79.65,4.9751625,11.593005,13.056445,0.0025324687140395948,0.004655178104252711,1.0694335116833833,1.3671518337885435
1987-08-04,0,43.7,-79.65,4.03062,11.136132,17.977898,0.004477810602545479,0.00388660905749657,0.8411748825855524,-0.07328569441347602
1987-08-05,0,43.7,-79.65,2.3243563,3.815007,8.865069,0.003431406951052404,0.004294059746208291,3.508302749981845,-0.8140987542711836
1987-08-06,0,43.7,-79.65,2.1565483,2.9430695,8.49096,0.0015857430542659604,0.005517174409605788,-0.5070416522106131,-1.391676247870831
1987-08-07,0,43.7,-79.65,5.0393524,15.054352,13.352785,0.0007220522845612451,0.004280622681044328,3.071629311762161,1.1691047439618751
1987-08-08,0,43.7,-79.65,2.665056,15.688981,22.223087,0.003316121524850602,0.004421878315198825,0.46402508078553956,-0.16020080954105223
1987-08-09,0,43.7,-79.65,3.2059388,8.740555,16.675978,0.003115302276604238,0.005412832021653967,-1.8245386291580727,0.489976183718436
1987-08-10,0,43.7,-79.65,1.9064074,1.6341256,20.25871,0.0011174492083951648,0.0054338835803169295,0.20327369757749947,1.8157635706691544
1987-08-11,0,43.7,-79.65,1.7142289,3.3108282,7.585691,0.003383625384429431,0.005285684377172386,2.072216117690618,1.1961827148484718
1987-08-12,0,43.7,-79.65,2.032718,6.2590055,2.097045,0.005558869603009637,0.004751393871502231,-1.568109440565399,-0.7344790061715974
1987-08-13,0,43.7,-79.65,3.5923095,11.922991,9.5389185,0.0029119194167573324,0.004749649665078139,2.0485655795165294,0.47666951406815833
1987-08-14,0,43.7,-79.65,4.186632,12.0950775,13.914012,0.0022024067807165184,0.004910330757489348,1.063752018308646,0.7359832831302369
1987-08-15,0,43.7,-79.65,5.460087,12.061389,12.819514,0.0013039967313747132,0.0048038479735353036,2.667009157061135,0.8396021698346187
1987-08-16,0,43.7,-79.65,6.0770035,15.767829,14.206346,0.0017689083458828508,0.0045743079222460865,0.6089883922149172,0.4050178349845571
1987-08-17,0,43.7,-79.65,6.3409095,17.080883,15.580267,0.0031588597077273853,0.00431045668991992,0.38493614986992225,-0.9365515467352359
1987-08-18,0,43.7,-79.65,3.8429637,12.44836,21.156456,0.002447685023240498,0.004046609141005944,4.093020140110727,-1.2444757904936994
1987-08-19,0,43.7,-79.65,5.636616,15.713573,24.834774,0.0008405128212648958,0.0036838090847546457,3.029329793228626,0.2950312900870117
1987-08-20,0,43.7,-79.65,3.932098,12.249497,22.252071,0.0012528892409260945,0.003293987542361983,1.8280383912738671,0.7243565719288112
1987-08-21,0,43.7,-79.65,6.576632,11.902105,20.222134,0.0028617311107129425,0.0027975111669842332,1.8686838561510366,1.1992922470109653
1987-08-22,0,43.7,-79.65,7.60866,29.180243,24.374832,0.004473425554799522,0.004082591531865871,2.0523814079494906,0.7307764987719659
1987-08-23,0,43.7,-79.65,6.673901,14.302634,33.63949,0.0007603516580815729,0.0053601303204819884,2.759424993444001,-1.3489589642248134
1987-08-24,0,43.7,-79.65,5.6257277,11.698579,27.619781,3.26881155192362e-05,0.004029580787949067,1.2707362827450248,1.364329671971955
1987-08-25,0,43.7,-79.65,5.8275757,12.540086,25.33585,0.00022391369727715627,0.004504956634468973,3.300990257646425,1.7195328783664323
1987-08-26,0,43.7,-79.65,3.5260575,7.4804344,19.457901,0.0008527671966005756,0.005933300783492121,2.7805845478471727,0.8296697288896445
1987-08-27,0,43.7,-79.65,3.133847,6.054869,18.292732,0.0015314414310681431,0.00625194868363144,0.3069023310701518,1.437529634461916
1987-08-28,0,43.7,-79.65,1.7977682,5.627685,16.46165,0.001702473553049065,0.005952111214628441,0.41952706325399086,2.327868870988678
1987-08-29,0,43.7,-79.65,2.6322162,5.499267,11.180965,0.00033361333967348543,0.004584748974486575,-0.7312061440288261,2.9806617944114335
1987-08-30,0,43.7,-79.65,7.0794635,11.654933,12.09044,0.001571592398915406,0.004553021706425642,0.30681697499987376,0.3390840891451941
1987-08-31,0,43.7,-79.65,5.9664173,18.53605,22.163538,0.0032612140599628378,0.0038098796223310044,2.174642970306868,-0.6495037669536506
1987-09-01,0,43.7,-79.65,5.4289327,13.477595,16.69093,0.0019360229539611006,0.003968497321768337,2.554914462813794,-1.1144975729544235
1987-09-02,0,43.7,-79.65,3.8946486,12.598048,24.161154,0.0010878566360459309,0.003733946793112987,5.308684722309451,1.56722263918689
1987-09-03,0,43.7,-79.65,2.5553362,4.397255,15.549031,0.001041502053896207,0.00504605697978963,1.8658286696587485,0.4041160826336206
1987-09-04,0,43.7,-79.65,2.9091077,6.3221774,9.38933,0.005919165315915199,0.004447808367996455,-2.1848733140002468,-0.6287554805397702
